数据期,行业代码,门类代码,门类内容,大类代码,大类内容,中类代码,中类内容,小类代码,小类内容,经度,维度,注册资本(人民币元),企业经营日期,企业登记设立日期,企业缴纳社保人员数
2015,C2927,C,制造业,29,橡胶和塑料制品业,292,塑料制品业,2927,日用塑料制品制造,113.868264,22.594479,30000000,1999/5/1,1995/9/5,376
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.877658,22.56377,50000000,2002/12/1,1995/8/24,4
2015,F5111,F,批发和零售业,51,批发业,511,农、林、牧、渔产品批发,5111,谷物、豆及薯类批发,113.863362,22.627727,85000000,1998/3/1,1995/11/28,175
2015,R8930,R,文化、体育和娱乐业,89,体育,893,健身休闲活动,8930,健身休闲活动,113.848457,22.576512,65000000,2004/10/1,1996/1/16,351
2015,E4790,E,建筑业,47,房屋建筑业,479,其他房屋建筑业,4790,其他房屋建筑业,113.868780,22.578965,100000000,1992/8/1,1982/3/8,1000
2015,F5261,F,批发和零售业,52,零售业,526,汽车、摩托车、零配件和燃料及其他动力销售,5261,汽车新车零售,113.867758,22.595904,10000000,2004/10/1,1996/3/15,147
2015,G5822,G,交通运输、仓储和邮政业,58,多式联运和运输代理业,582,运输代理业,5822,旅客票务代理,113.891631,22.560968,2500000,2013/9/1,1996/4/8,14
2015,C2231,C,制造业,22,造纸和纸制品业,223,纸制品制造,2231,纸和纸板容器制造,113.802409,22.751909,20000000,2005/10/1,1996/5/28,560
2015,F5263,F,批发和零售业,52,零售业,526,汽车、摩托车、零配件和燃料及其他动力销售,5263,汽车零配件零售,113.839361,22.782056,20000000,2011/2/1,1998/1/8,45
2015,O8219,O,居民服务、修理和其他服务业,82,其他服务业,821,清洁服务,8219,其他清洁服务,113.896429,22.587206,1000000,2006/11/1,1998/1/12,245
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.874505,22.562763,62800000,2005/5/1,1998/1/19,82
2015,C3854,C,制造业,38,电气机械和器材制造业,385,家用电力器具制造,3854,家用厨房电器具制造,113.841248,22.705286,35000000,2006/5/1,1998/1/23,110
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.851267,22.599451,15000000,2009/3/1,1989/6/23,59
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.811287,22.781248,20000000,2003/11/1,1989/6/29,108
2015,E5012,E,建筑业,50,建筑装饰、装修和其他建筑业,501,建筑装饰和装修业,5012,住宅装饰和装修,113.909251,22.561423,100000000,1993/1/1,1987/11/9,46
2015,C3670,C,制造业,36,汽车制造业,367,汽车零部件及配件制造,3670,汽车零部件及配件制造,113.883407,22.575037,30000000,1993/1/1,1986/4/8,343
